fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
174362,Flying Flute,"26-28 Bradshawgate, Bolton",BL1 1DG,371812,409259.0,53.579161,-2.427205,Bolton
174374,Founders Arms,"18 St Georges Street, Bolton",BL1 2EN,371746,409593.0,53.582159,-2.428232,Bolton
174380,Frame 3 Snooker,"Higher Swan Lane, Bolton",BL3 3BJ,370739,407548.0,53.563732,-2.443249,Bolton
174388,Freemasons,"72 Market Street, Farnworth, Bolton",BL4 7NY,373922,405978.0,53.54978,-2.395062,Bolton
174413,Gilnow Arms,"258 Deane Road, Bolton",BL3 5HP,370539,408553.0,53.572736,-2.446363,Bolton
174465,Grey Mare Inn,"Grey Mare, 154 Tottington Road, Bolton",BL2 4DA,374196,412375.0,53.60729,-2.391458,Bolton
174479,Halliwell Conservative Club,"409 Halliwell Road, Bolton",BL1 8DE,370695,410944.0,53.594235,-2.444233,Bolton
174494,Hardy Hall,"51-53 Church Street, Little Lever, Bolton",BL3 1BL,375197,407403.0,53.562651,-2.375933,Bolton
174501,Harvester,"1 Arena Approach, Horwich, Bolton",BL6 6LB,364480,409288.0,53.578974,-2.53794,Bolton
174502,Harvey's Cafe Bar,"Mawdsley Street, Bolton",BL1 1LF,371742,409064.0,53.577395,-2.428244,Bolton
174517,Heaton Cricket Club,"Church Road, Bolton",BL1 5RH,369141,410693.0,53.591899,-2.467686,Bolton
174525,Hen and Chickens,"143 Deansgate, Bolton",BL1 1EX,371333,409188.0,53.578488,-2.434432,Bolton
174526,Henighans,"1043 Bury Road, Bolton",BL2 6PY,375134,409290.0,53.579599,-2.377035,Bolton
174527,Henighans,"Horse Shoe Inn, 71 Lever Street, Little Lever, Bolton",BL3 1BA,375278,407602.0,53.564452,-2.374726,Bolton
174529,Heroes Club Limited,"308 Manchester Road, Blackrod, Bolton",BL6 5BB,361966,410477.0,53.589484,-2.576053,Bolton
174539,Hilltops Sports and Social Club,"23 Hill Lane, Blackrod, Bolton",BL6 5JW,361145,410965.0,53.59381,-2.588516,Bolton
174542,Hogarths,"37-41 Churchgate, Bolton",BL1 1HU,371887,409332.0,53.579821,-2.426078,Bolton
174546,Hollywood Road Social Club,"Hollywood Road, Bolton",BL1 6HP,369812,410808.0,53.592971,-2.457561,Bolton
174554,Home Cooked Food at The Bowling Green,"Bowling Green Inn, 175 Lee Lane, Horwich, Bolton",BL6 7JD,363606,411850.0,53.601941,-2.551439,Bolton
174557,Hope & Anchor,"747 Chorley Old Road, Bolton",BL1 5QH,368917,410397.0,53.589216,-2.471041,Bolton
174560,Horwich Conservative Club,"123 Church Street, Horwich, Bolton",BL6 7BR,364076,411544.0,53.599223,-2.544303,Bolton
174565,Horwich Liberal Reform Club,"5 Winter Hey Lane, Horwich, Bolton",BL6 7AD,363893,411565.0,53.5994,-2.54707,Bolton
174569,Horwich RMI Club,"Ramsbottom Road, Horwich, Bolton",BL6 5NH,364072,411117.0,53.595394,-2.544314,Bolton
174577,House Without a Name,"75-77 Lea Gate, Bolton",BL2 3ET,373706,412187.0,53.605577,-2.398848,Bolton
174579,Hulton Arms,"2 Newbrook Road, Bolton",BL5 1EJ,368971,405732.0,53.547299,-2.46976,Bolton
174624,J2 and The Attic,"23-25 Mawdsley Street, Bolton",BL1 1LL,371776,409069.0,53.577451,-2.427731,Bolton
174638,Jolly Carter,"168 Church Street, Little Lever, Bolton",BL3 1BW,374845,407325.0,53.561942,-2.381241,Bolton
174639,Jolly Crofters,"Chorley Old Road, Horwich, Bolton",BL6 6RE,365731,411363.0,53.597708,-2.519276,Bolton
174668,Karaoke Bar,"9-11 Bradshawgate, Bolton",BL1 1EL,371857,409248.0,53.579055,-2.426524,Bolton
174673,Kearsley & Ringley Conservative Club,"52 Ringley Road, Stoneclough Radcliffe, Bolton",M26 1FS,375982,405506.0,53.545637,-2.363935,Bolton
174675,Kearsley Cricket Club,"Springfield Road, Kearsley, Bolton",BL4 8LA,374957,404691.0,53.538263,-2.379338,Bolton
174677,Kearsley Social & Bowling Club,"58 Manchester Road, Kearsley, Bolton",BL4 8NZ,375359,404732.0,53.538651,-2.373276,Bolton
174695,Kings Arms,"2 Mossfield Road, Farnworth, Bolton",BL4 0AB,372905,405828.0,53.548381,-2.410398,Bolton
174697,Kings Head,"52-54 Junction Road, Bolton",BL3 4NA,369213,408053.0,53.568166,-2.466337,Bolton
174740,Lamb Hotel,"455 Blackburn Road, Bolton",BL1 8NN,371431,411465.0,53.598968,-2.433162,Bolton
